"m1","m2","m3","m4","m5","cl"
"11903",122.63,0.22695,0.26177,84,0.69093,1
"11904",74.185,0.31864,0.17086,87,0.71221,1
"11905",75.52,0.38436,0.66335,85,0.6829,1
"11906",83.158,0.16466,0.67962,85,0.69395,1
"11907",82.265,0.34454,0.43465,85,0.72935,1
"11908",84.287,0.36962,0.18758,86,0.72538,1
"11909",94.894,0.25155,0.34819,85,0.75253,1
"11910",61.328,0.41981,0.39085,84,0.75213,1
"11911",74.776,0.23078,0.32081,84,0.80116,1
"11912",86.219,0.14642,0.27111,157,0.52874,1
"11913",98.389,0.32302,0.34553,80,0.74374,1
"11914",95.486,0.28633,0.20879,97,0.28724,1
"11915",73.054,0.53623,0.92557,80,0.64663,1
